notes_ponderes,Prix_Nuit,Classe,Ville,type_logements,type_propriete,nb_salle_de_bain,nb_lits,nb_chambres,nb_voyageurs,Arrivee,Depart,Fumeur,Wifi,Eau_chaude,four,refregerateur,fer_a_repasser,table_a_manger,chauffage,plaques_de_cuisson,congelateur,Parking_gratuit,Television,baignoire,Animaux_accepter
0.2578333333333333,29.0,Aucune,Nanterre,Chambre partagée,appartement,1.0,1.0,1.0,1.0,entre 21:00 et 23:00,avant 10:00,non_renseigne,oui,oui,non_renseigne,non_renseigne,non_renseigne,non_renseigne,oui,non_renseigne,non_renseigne,oui,non,oui,non_renseigne
0.9334285714285716,80.0,Superhôte,Montigny-le-Bretonneux,Logement entier ,appartement,1.0,3.0,1.0,5.0,entre 18:00 et 21:00,avant 11:00,non_renseigne,oui,oui,oui,oui,oui,non_renseigne,oui,non_renseigne,non_renseigne,oui,oui,non_renseigne,non_renseigne
0.04166666666666666,53.0,Superhôte,Rosny-sous-Bois,Logement entier ,appartement,1.0,1.0,1.0,2.0,A partir de 15:00,avant 12:00,non_renseigne,oui,non_renseigné,non_renseigne,non_renseigne,non_renseigne,non_renseigne,oui,oui,non_renseigne,oui,non,non_renseigne,non_renseigne
1.4707142857142856,30.0,Aucune,Sevran,Chambre privée,appartement,1.0,1.0,1.0,3.0,entre 12:00 et 21:00,avant 12:00,non_renseigne,oui,oui,oui,oui,oui,non_renseigne,oui,oui,oui,oui,oui,oui,non_renseigne
0.5934761904761904,63.0,Aucune,Paris,Logement entier ,appartement,1.0,1.0,-1.0,2.0,non_renseigne,avant 12:00,non_renseigne,non_renseigne,oui,oui,oui,oui,oui,oui,oui,oui,non_renseigne,oui,non_renseigne,non_renseigne
0.2124404761904762,189.0,Aucune,Montévrain,Logement entier ,résidence de tourisme ,1.0,2.0,1.0,4.0,A partir de 16:00,avant 11:00,non_renseigne,oui,oui,oui,oui,oui,non_renseigne,oui,oui,non_renseigne,oui,non_renseigne,oui,non_renseigne
0.2124404761904762,190.0,Aucune,Montévrain,Logement entier ,résidence de tourisme ,1.0,2.0,1.0,4.0,A partir de 16:00,avant 11:00,non_renseigne,oui,oui,oui,oui,oui,non_renseigne,oui,oui,non_renseigne,oui,non_renseigne,oui,non_renseigne
0.13428571428571426,212.0,Superhôte,Montreuil,Logement entier ,appartement,2.0,2.0,2.0,4.0,entre 16:00 et 00:00,avant 11:00,non_renseigne,oui,oui,oui,oui,oui,non_renseigne,oui,non_renseigne,oui,non_renseigne,oui,non_renseigne,non_renseigne
0.005952380952380952,120.0,Aucune,Nanterre,Logement entier ,appartement,2.0,5.0,2.0,4.0,entre 11:00 et 17:00,avant 12:00,non_renseigne,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,non_renseigne
0.8446428571428573,180.0,Aucune,Goussainville,Chambre privée,appartement,1.0,1.0,1.0,2.0,entre 16:00 et 19:00,avant 12:00,non_renseigne,oui,oui,oui,oui,oui,oui,oui,non_renseigne,oui,oui,oui,oui,non_renseigne
0.7617857142857144,33.0,Aucune,Sevran,Chambre privée,appartement,1.0,2.0,1.0,3.0,entre 14:00 et 00:00,avant 11:00,non_renseigne,oui,oui,oui,oui,oui,non_renseigne,oui,non_renseigne,non_renseigne,oui,non,non_renseigne,non_renseigne
0.14733333333333332,47.0,Aucune,Bonneuil-sur-Marne,Chambre privée,appartement,1.0,2.0,2.0,3.0,entre 14:00 et 19:00,avant 12:00,non_renseigne,oui,oui,oui,oui,oui,non_renseigne,oui,non_renseigne,non_renseigne,oui,non,oui,non_renseigne
0.7057142857142857,62.0,Aucune,Colombes,Logement entier ,appartement,1.0,2.0,1.0,4.0,entre 15:00 et 22:00,avant 11:00,non_renseigne,oui,oui,oui,oui,oui,non_renseigne,oui,non_renseigne,non_renseigne,oui,oui,non_renseigne,non_renseigne
0.0,53.0,Aucune,Mitry-Mory,Logement entier ,appartement,1.0,1.0,-1.0,2.0,entre 15:00 et 17:00,avant 11:00,non_renseigne,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non_renseigne,non_renseigne,non_renseigne
0.010952380952380951,130.0,Aucune,Boulogne-Billancourt,Logement entier ,appartement,1.0,2.0,2.0,3.0,A partir de 15:00,avant 12:00,non_renseigne,oui,non_renseigné,non_renseigne,oui,oui,non_renseigne,oui,non_renseigne,non_renseigne,non_renseigne,oui,non_renseigne,non_renseigne
0.09309523809523808,70.0,Superhôte,Vincennes,Logement entier ,appartement,1.0,1.0,1.0,2.0,A partir de 18:00,avant 11:00,non_renseigne,oui,oui,oui,oui,oui,non_renseigne,oui,non_renseigne,non_renseigne,non_renseigne,oui,non_renseigne,non_renseigne
0.14345238095238094,65.0,Aucune,Cormeilles-en-Parisis,Logement entier ,suite ,1.0,2.0,1.0,3.0,entre 14:00 et 22:00,avant 11:00,non_renseigne,oui,oui,oui,oui,oui,oui,oui,non_renseigne,non_renseigne,non_renseigne,oui,non_renseigne,non_renseigne
0.13917857142857146,39.0,Aucune,Colombes,Chambre privée,villa ,1.0,1.0,1.0,2.0,entre 19:00 et 00:00,avant 11:00,non_renseigne,oui,oui,oui,oui,oui,oui,oui,non_renseigne,oui,non_renseigne,non,oui,non_renseigne
0.13917857142857146,39.0,Aucune,Colombes,Chambre privée,villa ,1.0,1.0,1.0,2.0,entre 19:00 et 00:00,avant 11:00,non_renseigne,oui,oui,oui,oui,oui,oui,oui,non_renseigne,oui,non_renseigne,non,oui,non_renseigne
0.034928571428571434,61.0,Aucune,Le Pecq,Logement entier ,appartement,1.0,1.0,1.0,2.0,entre 15:00 et 20:00,avant 10:00,non_renseigne,oui,oui,oui,oui,oui,non_renseigne,oui,oui,oui,oui,oui,oui,non_renseigne
0.2345,58.0,Aucune,Romainville,Logement entier ,appartement,1.0,1.0,1.0,2.0,entre 14:00 et 00:00,avant 12:00,non_renseigne,oui,oui,oui,oui,non_renseigne,oui,oui,oui,oui,oui,non,non_renseigne,non_renseigne
0.3378571428571429,70.0,Aucune,Montreuil,Logement entier ,appartement,1.0,1.0,1.0,2.0,A partir de 15:00,avant 12:00,non_renseigne,oui,oui,oui,oui,oui,non_renseigne,oui,non_renseigne,non_renseigne,oui,oui,non_renseigne,non_renseigne
0.01785714285714286,90.0,Aucune,Boulogne-Billancourt,Logement entier ,appartement,1.0,1.0,1.0,2.0,non_renseigne,non_renseigne,non_renseigne,oui,oui,non_renseigne,non_renseigne,non_renseigne,non_renseigne,oui,non_renseigne,non_renseigne,non_renseigne,oui,non_renseigne,non_renseigne
0.011428571428571429,91.0,Aucune,Aubervilliers,Logement entier ,appartement,1.0,1.0,1.0,4.0,A partir de 15:00,non_renseigne,non_renseigne,oui,non_renseigné,non_renseigne,non_renseigne,non_renseigne,non_renseigne,non,non_renseigne,non_renseigne,non_renseigne,oui,non_renseigne,non_renseigne
0.23238095238095235,67.0,Superhôte,Sannois,Logement entier ,appartement,1.0,1.0,1.0,2.0,A partir de 18:00,avant 11:00,non_renseigne,oui,oui,oui,oui,oui,oui,oui,oui,non_renseigne,oui,oui,non_renseigne,non_renseigne
0.4411904761904763,79.0,Aucune,Montreuil,Logement entier ,appartement,1.0,2.0,1.0,4.0,A partir de 17:00,avant 11:00,non_renseigne,oui,oui,oui,oui,non_renseigne,oui,oui,oui,non_renseigne,non_renseigne,non,oui,oui
0.03414285714285715,95.0,Aucune,Vitry-sur-Seine,Logement entier ,logement ,1.0,2.0,1.0,4.0,entre 14:00 et 23:00,avant 12:00,non_renseigne,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non_renseigne,non_renseigne
0.2964285714285715,107.0,Superhôte,Versailles,Logement entier ,appartement,1.0,2.0,1.0,4.0,A partir de 15:00,avant 11:00,non_renseigne,oui,oui,oui,oui,oui,oui,oui,oui,non_renseigne,non,oui,non_renseigne,non_renseigne
0.44275,35.0,Superhôte,Rueil-Malmaison,Chambre partagée,appartement,1.0,1.0,1.0,2.0,entre 18:00 et 22:00,avant 09:00,non_renseigne,oui,oui,oui,oui,oui,non_renseigne,oui,non_renseigne,non_renseigne,oui,oui,oui,non_renseigne
0.17214285714285715,35.0,Superhôte,Viry-Châtillon,Chambre privée,logement ,1.0,1.0,1.0,2.0,entre 16:00 et 22:00,avant 11:00,non_renseigne,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non_renseigne,oui,non_renseigne
0.11675,105.0,Superhôte,Montreuil,Logement entier ,appartement,1.0,2.0,2.0,4.0,entre 16:00 et 21:00,avant 12:00,non_renseigne,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non_renseigne,non_renseigne
0.03666666666666667,93.0,Aucune,Gonesse,Logement entier ,appartement,1.0,2.0,1.0,5.0,A partir de 17:00,avant 11:00,non_renseigne,oui,oui,oui,oui,oui,oui,oui,oui,non_renseigne,oui,oui,non_renseigne,oui
0.371904761904762,48.0,Aucune,Bois-Colombes,Logement entier ,appartement,1.0,1.0,1.0,2.0,non_renseigne,avant 13:00,non_renseigne,oui,oui,oui,oui,non_renseigne,non_renseigne,oui,non_renseigne,oui,non_renseigne,non,non_renseigne,non_renseigne
0.7542857142857143,52.0,Superhôte,Coubron,Chambre privée,non_rensignée,1.0,1.0,-1.0,16.0,entre 14:00 et 16:00,avant 17:00,non_renseigne,oui,oui,non_renseigne,non_renseigne,non_renseigne,non_renseigne,oui,non_renseigne,non_renseigne,oui,non,non_renseigne,non_renseigne
0.3421785714285714,31.0,Aucune,Saint-Gratien,Chambre privée,appartement,1.0,2.0,1.0,2.0,entre 14:00 et 22:00,avant 11:00,non_renseigne,oui,oui,oui,oui,non_renseigne,non_renseigne,oui,non_renseigne,non_renseigne,oui,non,oui,non_renseigne
0.5153571428571428,221.0,Superhôte,Saint-Denis,Logement entier ,appartement,2.0,4.0,3.0,6.0,A partir de 15:00,avant 11:00,non_renseigne,non_renseigne,non_renseigné,oui,oui,oui,oui,oui,oui,oui,oui,oui,non_renseigne,non_renseigne
0.034166666666666665,84.0,Aucune,Vitry-sur-Seine,Logement entier ,logement ,1.0,5.0,3.0,7.0,non_renseigne,non_renseigne,non_renseigne,oui,oui,oui,oui,oui,non_renseigne,oui,non_renseigne,non_renseigne,oui,oui,non_renseigne,non_renseigne
0.4946190476190477,54.0,Aucune,Aubervilliers,Logement entier ,appartement,1.0,1.0,1.0,2.0,A partir de 14:00,avant 11:00,non_renseigne,oui,oui,oui,oui,non_renseigne,oui,oui,oui,oui,oui,oui,non_renseigne,oui
0.19749999999999995,70.0,Aucune,Asnières-sur-Seine,Logement entier ,appartement,1.0,2.0,2.0,4.0,A partir de 15:00,avant 13:00,non_renseigne,oui,oui,non_renseigne,non_renseigne,non_renseigne,non_renseigne,oui,non_renseigne,non_renseigne,non_renseigne,oui,non_renseigne,non_renseigne
0.12152380952380952,103.0,Aucune,Argenteuil,Logement entier ,appartement,1.0,5.0,2.0,6.0,A partir de 15:00,avant 12:00,non_renseigne,oui,oui,oui,oui,oui,oui,oui,oui,oui,non_renseigne,oui,oui,non_renseigne
