Titre Ebay,Titre Facebook,Prix Ebay,Prix Facebook,similarite_score
Appareil Photo Canon EOS 1200D,Appareil canon eos 100d,"175,00 EUR",270 €,0.8679245283018868
Appareil Photo Canon EOS 1200D,Appareil photo EOS 100D,"175,00 EUR",280 €,0.8679245283018868
CANON EOS 100 D,Canon eos 2000D,"190,00 EUR",250 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 2000d,"190,00 EUR",500 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 2000D,"190,00 EUR",330 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 450 D,"190,00 EUR",150 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 4000d,"190,00 EUR",300 €,0.8666666666666667
CANON EOS 100 D,Canon eos 2000d,"190,00 EUR",450 €,0.8666666666666667
CANON EOS 100 D,Canon eos 2000d,"190,00 EUR",500 €,0.8666666666666667
CANON EOS 100 D,Canon éos 450 d,"190,00 EUR",260 €,0.8666666666666667
CANON EOS 100 D,Canon eos 2000d,"190,00 EUR",630 €,0.8666666666666667
CANON EOS 100 D,Canon Eos 2000D,"190,00 EUR",320 €,0.8666666666666667
CANON EOS 100 D,Canon eos 2000D,"190,00 EUR",700 €,0.8666666666666667
CANON EOS 100 D,Canon eos 2000D,"190,00 EUR",350 €,0.8666666666666667
CANON EOS 100 D,Canon eos 2000D,"190,00 EUR",450 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 2000D,"190,00 EUR",370 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 2000D,"190,00 EUR",300 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 2000D,"190,00 EUR",350 €,0.8666666666666667
CANON EOS 100 D,CANON EOS 2000D,"190,00 EUR",399 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 4000D,"190,00 EUR",360 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 2000D,"190,00 EUR",470 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 4000D,"190,00 EUR",350 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 1000f,"190,00 EUR",45 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 2000D,"190,00 EUR",360 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 4000D,"190,00 EUR",310 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 350 D,"190,00 EUR",25 €,0.8666666666666667
CANON EOS 100 D,CANON EOS 1000F,"190,00 EUR",50 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 2000D,"190,00 EUR",350 €,0.8666666666666667
CANON EOS 100 D,CANON EOS 2000D,"190,00 EUR",350 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 4000D,"190,00 EUR",260 €,0.8666666666666667
CANON EOS 100 D,CANON EOS 2000D,"190,00 EUR",350 €,0.8666666666666667
CANON EOS 100 D,Canon eos 2000d,"190,00 EUR",400 €,0.8666666666666667
CANON EOS 100 D,Canon EOS 2000D,"190,00 EUR",450 €,0.8666666666666667
Appareil photo reflex Canon EF,Appareil photo reflex Canon EOS 2000D,"179,00 EUR",365 €,0.8656716417910447
Appareil photo reflex Canon EF,Appareil photo reflex Canon EOS 4000D,"179,00 EUR",400 €,0.8656716417910447
Appareil photo numérique SONY DSC-WX300,Appareil photo numérique sony,"155,00 EUR",50 €,0.8656716417910447
Appareil photo reflex Canon EF,Appareil photo reflex canon eos 4000d,"179,00 EUR",150 €,0.8656716417910447
Appareil photo reflex Canon EF,Appareil photo reflex canon EOS 2000D,"179,00 EUR",350 €,0.8656716417910447
Appareil photo reflex Canon EF,Appareil photo reflex CANON EOS 2000D,"179,00 EUR",600 €,0.8656716417910447
Appareil photo reflex Canon EF,Appareil photo reflex canon eos 2000D,"179,00 EUR",400 €,0.8656716417910447
Nikon coolpix S6300,Nikon coolpix l830,"180,00 EUR",60 €,0.8648648648648649
lot appareil photo,Vent appareil photo,"210,00 EUR",35 €,0.8648648648648649
"Objectif Canon EF-S 18-135 mm f/3,5-5,6 IS STM",Objectif canon RF-S 18-150 mm IS STM,"160,00 EUR",340 €,0.8648648648648649
"Objectif Canon EF 35 mm F/2,0",Objectif canon EF 16-35mm,"175,00 EUR",900 €,0.8627450980392157
nikon d3500,nikon 5200,"295,00 EUR",250 €,0.8571428571428571
Objectif Nikon AF-S DX Nikkor 55-300mm f/4.5-5.6G ED VR,Objectif Nikon AF-S Nikkor 16-35mm f/4G ED VR,"250,00 EUR",700 €,0.8571428571428571
Camescope SONY AX 53,Camescope SONY DCR-SX53,"448,00 EUR",55 €,0.8571428571428571
CANON EOS 100 D,Canon eos 600,"190,00 EUR",100 €,0.8571428571428571
nikon d3500,Nikon 500D+,"295,00 EUR",300 €,0.8571428571428571
CANON EOS 100 D,Canon eos400d,"190,00 EUR",120 €,0.8571428571428571
Canon EOS 1100D + 3 objectifs,Canon Eos R + 3 Objectif,"180,00 EUR",1 400 €,0.8571428571428571
REFLEX CANON EOS 5DSR,Reflex Canon EOS 700d,"800,00 EUR",300 €,0.8571428571428571
CANON EOS 100 D,canon eos400d,"190,00 EUR",200 €,0.8571428571428571
nikon d3500,Nikon 5200,"295,00 EUR",350 €,0.8571428571428571
Appareil photo LUMIX GX9M silver,appareil photo lumix gx9,"300,00 EUR",800 €,0.8571428571428571
Appareil photo Canon EOS 1100 D + Objectif 18-55 mm,Appareil photo Canon eos 2000 D + objectifs,"188,17 EUR",600 €,0.8539325842696629
Appareil photo reflex Canon EF,Appareil photo reflex Canon EOS 2000 D,"179,00 EUR",350 €,0.8529411764705882
Appareil photo reflex Canon EF,Appareil photo reflex Nikon D40,"179,00 EUR",70 €,0.8524590163934426
Appareil photo reflex Canon EF,Appareil photo reflex NIKON D80,"179,00 EUR",300 €,0.8524590163934426
Appareil Photo Canon EOS 1200D,Appareil Canon Eos 2000D,"175,00 EUR",380 €,0.8518518518518519
Appareil Photo Canon EOS 600D,Appareil photo canon 450d,"290,00 EUR",150 €,0.8518518518518519
Appareil Photo Canon EOS 1200D,Appareil photo Eos 2000D,"175,00 EUR",600 €,0.8518518518518519
"Objectif Canon FD 1:2,8 200 mm",Objectif canon RF 18-150 mm,"199,50 EUR",350 €,0.8518518518518519
Appareil Photo Canon EOS 600D,Appareil photo canon 550D,"290,00 EUR",320 €,0.8518518518518519
Appareil photo Canon EOS 1100 D + Objectif 18-55 mm,Appareil photo Canon EOS 550 D + Objectif,"188,17 EUR",210 €,0.8505747126436781
